Value of N  		 Value of x 
431.0 		 -0.99
230.0 		 -0.98
158.0 		 -0.97
121.0 		 -0.96
98.0 		 -0.95
83.0 		 -0.94
72.0 		 -0.93
63.0 		 -0.92
56.0 		 -0.91
51.0 		 -0.90
46.0 		 -0.89
42.0 		 -0.88
39.0 		 -0.87
36.0 		 -0.86
34.0 		 -0.85
32.0 		 -0.84
30.0 		 -0.83
28.0 		 -0.82
27.0 		 -0.81
25.0 		 -0.80
24.0 		 -0.79
23.0 		 -0.78
22.0 		 -0.77
21.0 		 -0.76
20.0 		 -0.75
19.0 		 -0.74
18.0 		 -0.73
17.0 		 -0.72
17.0 		 -0.71
16.0 		 -0.70
16.0 		 -0.69
15.0 		 -0.68
14.0 		 -0.67
14.0 		 -0.66
13.0 		 -0.65
13.0 		 -0.64
13.0 		 -0.63
12.0 		 -0.62
12.0 		 -0.61
11.0 		 -0.60
11.0 		 -0.59
11.0 		 -0.58
10.0 		 -0.57
10.0 		 -0.56
10.0 		 -0.55
9.0 		 -0.54
9.0 		 -0.53
9.0 		 -0.52
9.0 		 -0.51
8.0 		 -0.50
8.0 		 -0.49
8.0 		 -0.48
8.0 		 -0.47
7.0 		 -0.46
7.0 		 -0.45
7.0 		 -0.44
7.0 		 -0.43
7.0 		 -0.42
6.0 		 -0.41
6.0 		 -0.40
6.0 		 -0.39
6.0 		 -0.38
6.0 		 -0.37
6.0 		 -0.36
5.0 		 -0.35
5.0 		 -0.34
5.0 		 -0.33
5.0 		 -0.32
5.0 		 -0.31
5.0 		 -0.30
5.0 		 -0.29
4.0 		 -0.28
4.0 		 -0.27
4.0 		 -0.26
4.0 		 -0.25
4.0 		 -0.24
4.0 		 -0.23
4.0 		 -0.22
3.0 		 -0.21
3.0 		 -0.20
3.0 		 -0.19
3.0 		 -0.18
3.0 		 -0.17
3.0 		 -0.16
3.0 		 -0.15
3.0 		 -0.14
2.0 		 -0.13
2.0 		 -0.12
2.0 		 -0.11
2.0 		 -0.10
2.0 		 -0.09
2.0 		 -0.08
2.0 		 -0.07
2.0 		 -0.06
1.0 		 -0.05
1.0 		 -0.04
1.0 		 -0.03
1.0 		 -0.02
1.0 		 -0.01
1.0 		 0.00
1.0 		 0.01
1.0 		 0.02
1.0 		 0.03
1.0 		 0.04
1.0 		 0.05
2.0 		 0.06
2.0 		 0.07
2.0 		 0.08
2.0 		 0.09
2.0 		 0.10
2.0 		 0.11
2.0 		 0.12
2.0 		 0.13
3.0 		 0.14
3.0 		 0.15
3.0 		 0.16
3.0 		 0.17
3.0 		 0.18
3.0 		 0.19
3.0 		 0.20
3.0 		 0.21
4.0 		 0.22
4.0 		 0.23
4.0 		 0.24
4.0 		 0.25
4.0 		 0.26
4.0 		 0.27
4.0 		 0.28
5.0 		 0.29
5.0 		 0.30
5.0 		 0.31
5.0 		 0.32
5.0 		 0.33
5.0 		 0.34
5.0 		 0.35
6.0 		 0.36
6.0 		 0.37
6.0 		 0.38
6.0 		 0.39
6.0 		 0.40
6.0 		 0.41
7.0 		 0.42
7.0 		 0.43
7.0 		 0.44
7.0 		 0.45
7.0 		 0.46
8.0 		 0.47
8.0 		 0.48
8.0 		 0.49
8.0 		 0.50
9.0 		 0.51
9.0 		 0.52
9.0 		 0.53
9.0 		 0.54
10.0 		 0.55
10.0 		 0.56
10.0 		 0.57
11.0 		 0.58
11.0 		 0.59
11.0 		 0.60
12.0 		 0.61
12.0 		 0.62
13.0 		 0.63
13.0 		 0.64
13.0 		 0.65
14.0 		 0.66
14.0 		 0.67
15.0 		 0.68
16.0 		 0.69
16.0 		 0.70
17.0 		 0.71
17.0 		 0.72
18.0 		 0.73
19.0 		 0.74
20.0 		 0.75
21.0 		 0.76
22.0 		 0.77
23.0 		 0.78
24.0 		 0.79
25.0 		 0.80
27.0 		 0.81
28.0 		 0.82
30.0 		 0.83
32.0 		 0.84
34.0 		 0.85
36.0 		 0.86
39.0 		 0.87
42.0 		 0.88
46.0 		 0.89
51.0 		 0.90
56.0 		 0.91
63.0 		 0.92
72.0 		 0.93
83.0 		 0.94
98.0 		 0.95
121.0 		 0.96
158.0 		 0.97
230.0 		 0.98
431.0 		 0.99
2499998.0 	 1.00
2499998.0 	 -1.00
