Value of xo 	 f(x) 	 Value of root 	 Number of iterations to converge
-5.000000 	 220.000000	 -3.823050 	 6 
-4.900000 	 190.511100	 -3.823050 	 6 
-4.800000 	 163.369600	 -3.823050 	 6 
-4.700000 	 138.465100	 -3.823050 	 6 
-4.600000 	 115.689600	 -3.823050 	 5 
-4.500000 	 94.937500	 -3.823050 	 5 
-4.400000 	 76.105600	 -3.823050 	 5 
-4.300000 	 59.093100	 -3.823050 	 5 
-4.200000 	 43.801600	 -3.823050 	 5 
-4.100000 	 30.135100	 -3.823050 	 5 
-4.000000 	 18.000000	 -3.823050 	 4 
-3.900000 	 7.305100	 -3.823050 	 4 
-3.800000 	 -2.038400	 -3.823050 	 3 
-3.700000 	 -10.116900	 -3.823050 	 4 
-3.600000 	 -17.014400	 -3.823050 	 5 
-3.500000 	 -22.812500	 -3.823050 	 5 
-3.400000 	 -27.590400	 -3.823050 	 5 
-3.300000 	 -31.424900	 -3.823050 	 6 
-3.200000 	 -34.390400	 -3.823050 	 6 
-3.100000 	 -36.558900	 -3.823050 	 7 
-3.000000 	 -38.000000	 -3.823050 	 8 
-2.900000 	 -38.780900	 -3.823050 	 10 
-2.800000 	 -38.966400	 2.930454 	 16 
-2.700000 	 -38.618900	 2.930454 	 7 
-2.600000 	 -37.798400	 0.892596 	 5 
-2.500000 	 -36.562500	 2.930454 	 6 
-2.400000 	 -34.966400	 -1.000000 	 6 
-2.300000 	 -33.062900	 -1.000000 	 6 
-2.200000 	 -30.902400	 -1.000000 	 5 
-2.100000 	 -28.532900	 -1.000000 	 5 
-2.000000 	 -26.000000	 -1.000000 	 2 
-1.900000 	 -23.346900	 -1.000000 	 4 
-1.800000 	 -20.614400	 -1.000000 	 4 
-1.700000 	 -17.840900	 -1.000000 	 4 
-1.600000 	 -15.062400	 -1.000000 	 4 
-1.500000 	 -12.312500	 -1.000000 	 4 
-1.400000 	 -9.622400	 -1.000000 	 4 
-1.300000 	 -7.020900	 -1.000000 	 4 
-1.200000 	 -4.534400	 -1.000000 	 4 
-1.100000 	 -2.186900	 -1.000000 	 4 
-1.000000 	 -0.000000	 -1.000000 	 1 
-0.900000 	 2.007100	 -1.000000 	 4 
-0.800000 	 3.817600	 -1.000000 	 4 
-0.700000 	 5.417100	 -1.000000 	 5 
-0.600000 	 6.793600	 -1.000000 	 5 
-0.500000 	 7.937500	 -1.000000 	 5 
-0.400000 	 8.841600	 -1.000000 	 5 
-0.300000 	 9.501100	 -1.000000 	 5 
-0.200000 	 9.913600	 -3.823050 	 5 
-0.100000 	 10.079100	 -3.823050 	 13 
-0.000000 	 10.000000	 2.930454 	 8 
0.100000 	 9.681100	 2.930454 	 9 
0.200000 	 9.129600	 0.892596 	 6 
0.300000 	 8.355100	 0.892596 	 5 
0.400000 	 7.369600	 0.892596 	 5 
0.500000 	 6.187500	 0.892596 	 4 
0.600000 	 4.825600	 0.892596 	 4 
0.700000 	 3.303100	 0.892596 	 4 
0.800000 	 1.641600	 0.892596 	 4 
0.900000 	 -0.134900	 0.892596 	 3 
1.000000 	 -2.000000	 0.892596 	 4 
1.100000 	 -3.924900	 0.892596 	 4 
1.200000 	 -5.878400	 0.892596 	 4 
1.300000 	 -7.826900	 0.892596 	 4 
1.400000 	 -9.734400	 0.892596 	 4 
1.500000 	 -11.562500	 0.892596 	 4 
1.600000 	 -13.270400	 0.892596 	 5 
1.700000 	 -14.814900	 0.892596 	 5 
1.800000 	 -16.150400	 0.892596 	 6 
1.900000 	 -17.228900	 2.930454 	 6 
2.000000 	 -18.000000	 -1.000000 	 2 
2.100000 	 -18.410900	 -3.823050 	 8 
2.200000 	 -18.406400	 2.930454 	 11 
2.300000 	 -17.928900	 2.930454 	 8 
2.400000 	 -16.918400	 2.930454 	 7 
2.500000 	 -15.312500	 2.930454 	 6 
2.600000 	 -13.046400	 2.930454 	 5 
2.700000 	 -10.052900	 2.930454 	 5 
2.800000 	 -6.262400	 2.930454 	 4 
2.900000 	 -1.602900	 2.930454 	 3 
3.000000 	 4.000000	 2.930454 	 4 
3.100000 	 10.623100	 2.930454 	 4 
3.200000 	 18.345600	 2.930454 	 5 
3.300000 	 27.249100	 2.930454 	 5 
3.400000 	 37.417600	 2.930454 	 5 
3.500000 	 48.937500	 2.930454 	 5 
3.600000 	 61.897600	 2.930454 	 5 
3.700000 	 76.389100	 2.930454 	 6 
3.800000 	 92.505600	 2.930454 	 6 
3.900000 	 110.343100	 2.930454 	 6 
4.000000 	 130.000000	 2.930454 	 6 
4.100000 	 151.577100	 2.930454 	 6 
4.200000 	 175.177600	 2.930454 	 6 
4.300000 	 200.907100	 2.930454 	 6 
4.400000 	 228.873600	 2.930454 	 7 
4.500000 	 259.187500	 2.930454 	 7 
4.600000 	 291.961600	 2.930454 	 7 
4.700000 	 327.311100	 2.930454 	 7 
4.800000 	 365.353600	 2.930454 	 7 
4.900000 	 406.209100	 2.930454 	 7 
5.000000 	 450.000000	 2.930454 	 7 
