Difference 	 x(i+1) 	 xi 	 Iteration number
0.7230769231 	 1.276923 	 2.000000 	 1 
0.5620896641 	 0.714833 	 1.276923 	 2 
0.4394166263 	 0.275417 	 0.714833 	 3 
0.4135821132 	 -0.138165 	 0.275417 	 4 
2.8513339355 	 2.713169 	 -0.138165 	 5 
0.8814446501 	 1.831724 	 2.713169 	 6 
0.6858196872 	 1.145904 	 1.831724 	 7 
0.5326430202 	 0.613261 	 1.145904 	 8 
0.4209523134 	 0.192309 	 0.613261 	 9 
0.4524763241 	 -0.260167 	 0.192309 	 10 
0.7251201103 	 0.464953 	 -0.260167 	 11 
0.4019485643 	 0.063004 	 0.464953 	 12 
0.6592515089 	 -0.596247 	 0.063004 	 13 
0.4417785834 	 -0.154469 	 -0.596247 	 14 
1.9713443781 	 1.816876 	 -0.154469 	 15 
0.6825292893 	 1.134346 	 1.816876 	 16 
0.5300471663 	 0.604299 	 1.134346 	 17 
0.4194791228 	 0.184820 	 0.604299 	 18 
0.4580393308 	 -0.273219 	 0.184820 	 19 
0.6825903109 	 0.409371 	 -0.273219 	 20 
0.3992557463 	 0.010115 	 0.409371 	 21 
0.9175316787 	 -0.907416 	 0.010115 	 22 
0.4818581488 	 -0.425558 	 -0.907416 	 23 
0.4752995607 	 0.049741 	 -0.425558 	 24 
0.7056545653 	 -0.655913 	 0.049741 	 25 
0.4443214395 	 -0.211592 	 -0.655913 	 26 
0.9855783579 	 0.773987 	 -0.211592 	 27 
0.4512538273 	 0.322733 	 0.773987 	 28 
0.4039099175 	 -0.081177 	 0.322733 	 29 
4.6210643052 	 -4.702242 	 -0.081177 	 30 
1.2432038324 	 -3.459038 	 -4.702242 	 31 
0.9748476830 	 -2.484190 	 -3.459038 	 32 
0.7820714133 	 -1.702119 	 -2.484190 	 33 
0.6374518648 	 -1.064667 	 -1.702119 	 34 
0.5130274171 	 -0.551639 	 -1.064667 	 35 
0.4431930388 	 -0.108446 	 -0.551639 	 36 
17.4866638233 	 17.378218 	 -0.108446 	 37 
4.4388336453 	 12.939384 	 17.378218 	 38 
3.3392601498 	 9.600124 	 12.939384 	 39 
2.5175492658 	 7.082574 	 9.600124 	 40 
1.9048372741 	 5.177737 	 7.082574 	 41 
1.4492882311 	 3.728449 	 5.177737 	 42 
1.1113863687 	 2.617063 	 3.728449 	 43 
0.8599888552 	 1.757074 	 2.617063 	 44 
0.6692697047 	 1.087804 	 1.757074 	 45 
0.5196054434 	 0.568199 	 1.087804 	 46 
0.4138829800 	 0.154316 	 0.568199 	 47 
0.4859188011 	 -0.331603 	 0.154316 	 48 
0.5599561716 	 0.228353 	 -0.331603 	 49 
0.4311581340 	 -0.202805 	 0.228353 	 50 
1.0620108282 	 0.859206 	 -0.202805 	 51 
0.4691641632 	 0.390042 	 0.859206 	 52 
0.3991991664 	 -0.009158 	 0.390042 	 53 
1.0908894307 	 -1.100047 	 -0.009158 	 54 
0.5201993874 	 -0.579848 	 -1.100047 	 55 
0.4419071864 	 -0.137940 	 -0.579848 	 56 
2.8692158347 	 2.731275 	 -0.137940 	 57 
0.8854924408 	 1.845783 	 2.731275 	 58 
0.6889345654 	 1.156848 	 1.845783 	 59 
0.5351017049 	 0.621747 	 1.156848 	 60 
0.4223748084 	 0.199372 	 0.621747 	 61 
0.4476223280 	 -0.248250 	 0.199372 	 62 
0.7715459610 	 0.523295 	 -0.248250 	 63 
0.4078276831 	 0.115468 	 0.523295 	 64 
0.5379092460 	 -0.422441 	 0.115468 	 65 
0.4769291793 	 0.054488 	 -0.422441 	 66 
0.6880349778 	 -0.633547 	 0.054488 	 67 
0.4428813266 	 -0.190666 	 -0.633547 	 68 
1.1940659691 	 1.003400 	 -0.190666 	 69 
0.5007557389 	 0.502644 	 1.003400 	 70 
0.4054548014 	 0.097189 	 0.502644 	 71 
0.5715969888 	 -0.474407 	 0.097189 	 72 
0.4561782165 	 -0.018229 	 -0.474407 	 73 
1.2012342663 	 -1.219464 	 -0.018229 	 74 
0.5443543467 	 -0.675109 	 -1.219464 	 75 
0.4459451137 	 -0.229164 	 -0.675109 	 76 
0.8662768812 	 0.637113 	 -0.229164 	 77 
0.4250150544 	 0.212098 	 0.637113 	 78 
0.4397530255 	 -0.227655 	 0.212098 	 79 
0.8751140871 	 0.647459 	 -0.227655 	 80 
0.4268363609 	 0.220622 	 0.647459 	 81 
0.4350556128 	 -0.214433 	 0.220622 	 82 
0.9635715956 	 0.749138 	 -0.214433 	 83 
0.4462082813 	 0.302930 	 0.749138 	 84 
0.4071707808 	 -0.104241 	 0.302930 	 85 
66.1891666467 	 66.084926 	 -0.104241 	 86 
16.5923845179 	 49.492541 	 66.084926 	 87 
12.4471449320 	 37.045397 	 49.492541 	 88 
9.3391447673 	 27.706252 	 37.045397 	 89 
7.0093649785 	 20.696887 	 27.706252 	 90 
5.2636215078 	 15.433265 	 20.696887 	 91 
3.9563677198 	 11.476898 	 15.433265 	 92 
2.9785344539 	 8.498363 	 11.476898 	 93 
2.2483779640 	 6.249985 	 8.498363 	 94 
1.7045391383 	 4.545446 	 6.249985 	 95 
1.3006692762 	 3.244777 	 4.545446 	 96 
1.0010731591 	 2.243704 	 3.244777 	 97 
0.7770266373 	 1.466677 	 2.243704 	 98 
0.6046238820 	 0.862053 	 1.466677 	 99 
0.4697753934 	 0.392278 	 0.862053 	 100 
