Value of x = 1.500000000000 

 Value of h  		 Second Derivative 		 Error in second derivative
  0.000000000000001 	|	 0.000000000000000 	|	 1.230275199956590
0.000000000000001 	|	 0.000000000000000 	|	 0.099866302156431
0.000000000000001 	|	 0.000000000000000 	|	 0.927778150389169
0.000000000000001 	|	 0.000000000000000 	|	 0.139904397710153
0.000000000000001 	|	 0.000000000000000 	|	 0.928533552556245
0.000000000000002 	|	 0.000000000000000 	|	 0.174444286389339
0.000000000000002 	|	 0.000000000000000 	|	 0.174444286389339
0.000000000000002 	|	 0.000000000000000 	|	 0.190176486815811
0.000000000000002 	|	 0.000000000000000 	|	 0.397347380682371
0.000000000000002 	|	 0.000000000000000 	|	 0.472682251179303
0.000000000000003 	|	 0.000000000000000 	|	 0.438439128226149
0.000000000000003 	|	 0.000000000000000 	|	 0.002617563367864
0.000000000000003 	|	 0.000000000000000 	|	 0.167183046317182
0.000000000000003 	|	 0.000000000000000 	|	 0.373091620862509
0.000000000000004 	|	 0.000000000000000 	|	 0.022263914901668
0.000000000000004 	|	 0.000000000000000 	|	 0.064788485321163
0.000000000000005 	|	 0.000000000000000 	|	 0.200093936655922
0.000000000000005 	|	 0.000000000000000 	|	 0.041944707823085
0.000000000000006 	|	 0.000000000000000 	|	 0.021953970493212
0.000000000000006 	|	 0.000000000000000 	|	 0.123270298407463
0.000000000000007 	|	 0.000000000000000 	|	 0.114369414339098
0.000000000000007 	|	 0.000000000000000 	|	 0.162377437116182
0.000000000000008 	|	 0.000000000000000 	|	 0.143128162374343
0.000000000000009 	|	 0.000000000000000 	|	 0.094928148916975
0.000000000000010 	|	 0.000000000000000 	|	 0.112962717954198
0.000000000000011 	|	 0.000000000000000 	|	 0.026395315515237
0.000000000000012 	|	 0.000000000000000 	|	 0.048752219280385
0.000000000000013 	|	 0.000000000000000 	|	 0.025770793270115
0.000000000000014 	|	 0.000000000000000 	|	 0.005023840015215
0.000000000000016 	|	 0.000000000000000 	|	 0.062164450789143
0.000000000000017 	|	 0.000000000000000 	|	 0.044726011854153
0.000000000000019 	|	 0.000000000000000 	|	 0.052447136003390
0.000000000000021 	|	 0.000000000000000 	|	 0.014587468006945
0.000000000000023 	|	 0.000000000000000 	|	 0.038951456432470
0.000000000000026 	|	 0.000000000000000 	|	 0.009720293057910
0.000000000000028 	|	 0.000000000000000 	|	 0.047168764787987
0.000000000000031 	|	 0.000000000000000 	|	 0.027534038444002
0.000000000000034 	|	 0.000000000000000 	|	 0.001197808952914
0.000000000000037 	|	 0.000000000000000 	|	 0.020172986631571
0.000000000000041 	|	 0.000000000000000 	|	 0.022331652852226
0.000000000000045 	|	 0.000000000000000 	|	 0.001217433191281
0.000000000000050 	|	 0.000000000000000 	|	 0.018406805178312
0.000000000000055 	|	 0.000000000000000 	|	 0.018895466102729
0.000000000000060 	|	 0.000000000000000 	|	 0.013541291532959
0.000000000000066 	|	 0.000000000000000 	|	 0.012200929647187
0.000000000000073 	|	 0.000000000000000 	|	 0.006108375620952
0.000000000000080 	|	 0.000000000000000 	|	 0.005000638525274
0.000000000000088 	|	 0.000000000000000 	|	 0.006007672248621
0.000000000000097 	|	 0.000000000000000 	|	 0.001316209375706
0.000000000000107 	|	 0.000000000000000 	|	 0.006309765028654
0.000000000000117 	|	 0.000000000000000 	|	 0.008579563052721
0.000000000000129 	|	 0.000000000000000 	|	 0.007203927886618
0.000000000000142 	|	 0.000000000000000 	|	 0.007203927886617
0.000000000000156 	|	 0.000000000000000 	|	 0.005498595036077
0.000000000000172 	|	 0.000000000000000 	|	 0.000702615329522
0.000000000000189 	|	 0.000000000000000 	|	 0.004460924642009
0.000000000000208 	|	 0.000000000000000 	|	 0.006643171053967
0.000000000000229 	|	 0.000000000000000 	|	 0.003063206302657
0.000000000000252 	|	 0.000000000000000 	|	 0.001298410419638
0.000000000000277 	|	 0.000000000000000 	|	 0.003835541240062
0.000000000000304 	|	 0.000000000000000 	|	 0.002873600133412
0.000000000000335 	|	 0.000000000000000 	|	 0.002873600133412
0.000000000000368 	|	 0.000000000000000 	|	 0.001427144932520
0.000000000000405 	|	 0.000000000000000 	|	 0.000769665295752
0.000000000000446 	|	 0.000000000000000 	|	 0.002816587268443
0.000000000000490 	|	 0.000000000000000 	|	 0.001711509403522
0.000000000000539 	|	 0.000000000000000 	|	 0.000888219099529
0.000000000000593 	|	 0.000000000000000 	|	 0.001486975684253
0.000000000000653 	|	 0.000000000000000 	|	 0.002031299852182
0.000000000000718 	|	 0.000000000000000 	|	 0.001041619546857
0.000000000000790 	|	 0.000000000000000 	|	 0.000532871847981
0.000000000000869 	|	 0.000000000000000 	|	 0.000796244264545
0.000000000000956 	|	 0.000000000000000 	|	 0.001248549754724
0.000000000001051 	|	 0.000000000000000 	|	 0.000103380175373
0.000000000001156 	|	 0.000000000000000 	|	 0.000871522181110
0.000000000001272 	|	 0.000000000000000 	|	 0.000522366723959
0.000000000001399 	|	 0.000000000000000 	|	 0.000141469861611
0.000000000001539 	|	 0.000000000000000 	|	 0.000083758215803
0.000000000001693 	|	 0.000000000000000 	|	 0.000293618746024
0.000000000001862 	|	 0.000000000000000 	|	 0.000421814879724
0.000000000002048 	|	 0.000000000000000 	|	 0.000098500484458
0.000000000002253 	|	 0.000000000000000 	|	 0.000295677821738
0.000000000002479 	|	 0.000000000000000 	|	 0.000600181965074
0.000000000002726 	|	 0.000000000000000 	|	 0.000214236022937
0.000000000002999 	|	 0.000000000000000 	|	 0.000391927220319
0.000000000003299 	|	 0.000000000000000 	|	 0.000254222588351
0.000000000003629 	|	 0.000000000000000 	|	 0.000112907984756
0.000000000003992 	|	 0.000000000000000 	|	 0.000065094717358
0.000000000004391 	|	 0.000000000000000 	|	 0.000036043181571
0.000000000004830 	|	 0.000000000000000 	|	 0.000166232616287
0.000000000005313 	|	 0.000000000000000 	|	 0.000184824553545
0.000000000005844 	|	 0.000000000000000 	|	 0.000179910168359
0.000000000006429 	|	 0.000000000000000 	|	 0.000179298269878
0.000000000007072 	|	 0.000000000000000 	|	 0.000066260649451
0.000000000007779 	|	 0.000000000000000 	|	 0.000089096532366
0.000000000008557 	|	 0.000000000000000 	|	 0.000004322988647
0.000000000009412 	|	 0.000000000000000 	|	 0.000108122456438
0.000000000010354 	|	 0.000000000000000 	|	 0.000056651645964
0.000000000011389 	|	 0.000000000000000 	|	 0.000041054430670
0.000000000012528 	|	 0.000000000000000 	|	 0.000033964787355
0.000000000013781 	|	 0.000000000000000 	|	 0.000072635569081
0.000000000015159 	|	 0.000000000000000 	|	 0.000050407827314
0.000000000016675 	|	 0.000000000000000 	|	 0.000082756021599
0.000000000018342 	|	 0.000000000000000 	|	 0.000010121194920
0.000000000020176 	|	 0.000000000000000 	|	 0.000073518908528
0.000000000022194 	|	 0.000000000000000 	|	 0.000010521386803
0.000000000024413 	|	 0.000000000000000 	|	 0.000014159494828
0.000000000026855 	|	 0.000000000000000 	|	 0.000007544752969
0.000000000029540 	|	 0.000000000000000 	|	 0.000022578257198
